user,failed_logins,requests_count,docs_accessed,docs_downloaded,hour_of_day,error_rate,unique_endpoints,session_duration_min,sensitive_docs_accessed,distinct_ips,share_actions,admin_actions,password_reset_delay_min,e2e_key_failures,repeated_doc_downloads,is_anomaly
user_14@scp.local,0,28,5,4,14,0.036,8,119.7,2,1,2,0,0,0,2,0
user_7@scp.local,0,96,10,5,10,0.001,6,112.6,0,1,3,0,0,0,2,0
user_47@scp.local,0,80,5,5,17,0.038,7,10.2,0,1,1,0,0,0,1,0
user_26@scp.local,0,89,2,1,14,0.023,5,91.1,2,1,3,0,0,0,0,0
user_7@scp.local,0,33,1,5,17,0.004,3,51.6,0,1,1,0,0,0,1,0
user_27@scp.local,0,36,12,5,10,0.006,8,33.0,1,1,1,0,0,0,2,0
user_4@scp.local,0,39,9,0,14,0.044,9,108.5,2,1,0,0,0,0,2,0
user_5@scp.local,0,92,1,1,11,0.03,4,101.7,0,1,1,0,0,0,1,0
user_1@scp.local,0,30,8,3,11,0.013,8,38.1,0,1,2,0,0,0,1,0
user_43@scp.local,0,88,2,2,16,0.019,6,23.8,2,1,2,0,0,0,1,0
user_3@scp.local,0,28,2,5,11,0.021,10,113.0,2,1,1,0,0,0,0,0
user_4@scp.local,0,10,6,5,17,0.004,8,30.2,0,1,2,0,0,0,1,0
user_46@scp.local,0,96,5,3,9,0.038,7,105.2,2,1,1,0,0,0,2,0
user_30@scp.local,0,51,3,0,13,0.009,9,89.8,2,1,0,0,0,0,2,0
user_13@scp.local,0,45,0,5,10,0.033,7,46.6,2,1,1,0,0,0,1,0
user_40@scp.local,0,75,5,1,10,0.023,8,97.0,1,1,0,0,0,0,1,0
user_31@scp.local,0,93,3,2,9,0.054,9,105.3,0,1,3,0,0,0,0,0
user_11@scp.local,0,77,4,5,17,0.037,5,36.9,0,1,1,0,0,0,0,0
user_28@scp.local,0,53,0,2,12,0.016,10,47.4,1,1,1,0,0,0,1,0
user_38@scp.local,0,22,7,4,16,0.007,7,107.5,0,1,2,0,0,0,0,0
user_18@scp.local,0,37,8,4,10,0.021,7,6.8,2,2,3,0,0,0,2,0
user_37@scp.local,0,11,10,2,14,0.016,10,92.5,0,1,0,0,0,0,1,0
user_19@scp.local,0,38,2,2,9,0.021,5,40.7,1,1,0,0,0,0,1,0
user_11@scp.local,0,96,8,1,12,0.038,6,112.7,2,1,3,0,0,0,2,0
user_44@scp.local,0,62,10,1,16,0.038,3,20.9,1,1,2,0,0,0,0,0
user_24@scp.local,0,60,8,3,17,0.06,5,35.4,0,1,3,0,0,0,0,0
user_20@scp.local,0,46,4,1,10,0.027,4,27.7,0,1,2,0,0,0,2,0
user_9@scp.local,0,67,3,4,17,0.004,7,72.1,0,1,1,0,0,0,0,0
user_23@scp.local,0,40,2,2,10,0.006,8,118.9,1,1,1,0,0,0,2,0
user_6@scp.local,0,73,0,1,17,0.026,7,95.6,2,1,2,0,0,0,0,0
user_38@scp.local,0,29,1,4,15,0.035,17,9.9,2,1,1,17,0,0,1,1
user_47@scp.local,0,75,2,16,0,0.303,8,80.8,6,1,5,0,0,0,1,1
user_10@scp.local,0,96,8,5,14,0.006,10,69.0,2,1,3,0,0,0,2,0
user_40@scp.local,0,60,9,5,15,0.039,7,119.7,0,1,3,0,0,0,2,0
user_8@scp.local,0,80,4,4,12,0.022,4,65.7,0,1,1,0,0,0,1,0
user_19@scp.local,0,20,2,0,15,0.005,9,39.9,2,1,0,0,0,0,1,0
user_16@scp.local,0,37,6,2,11,0.004,3,60.6,1,1,0,0,0,0,1,0
user_43@scp.local,0,58,2,0,9,0.003,3,21.0,0,1,3,0,0,0,1,0
user_3@scp.local,0,26,2,2,12,0.011,6,106.8,0,1,1,0,0,0,1,0
user_20@scp.local,0,10,9,0,10,0.044,4,66.4,1,1,1,0,0,0,1,0
user_34@scp.local,0,15,6,1,11,0.035,7,98.6,2,1,1,0,0,0,1,0
user_36@scp.local,0,32,5,5,17,0.036,9,74.9,1,1,1,0,0,0,2,0
user_32@scp.local,0,73,7,1,10,0.001,7,107.2,0,1,1,0,0,0,1,0
user_31@scp.local,0,20,8,2,12,0.021,4,63.3,1,1,2,0,0,0,0,0
user_22@scp.local,0,59,4,5,13,0.028,8,79.2,0,1,1,0,0,0,2,0
user_11@scp.local,0,82,5,2,15,0.019,9,23.3,2,1,0,0,0,0,2,0
user_49@scp.local,0,64,4,5,11,0.026,4,107.5,2,1,2,0,0,0,2,0
user_28@scp.local,0,94,2,4,15,0.024,6,30.8,2,1,1,0,0,0,1,0
user_27@scp.local,0,34,0,4,10,0.016,3,60.8,0,1,0,0,0,0,0,0
user_25@scp.local,0,49,10,5,13,0.006,8,74.5,2,1,0,0,0,0,2,0
user_11@scp.local,0,60,7,0,15,0.047,10,88.7,1,1,3,0,0,0,2,0
user_2@scp.local,0,90,9,2,11,0.01,7,93.2,2,1,0,0,0,0,0,0
user_25@scp.local,0,67,6,4,12,0.021,15,88.7,0,1,1,15,0,0,1,1
